Dates,EMU,PEHinDM,USHYHinDM,AI,Pfand
11/30/1989,0.026304369,0.01267247,-0.003267613,-0.018507713,-0.012811102
12/31/1989,0.057816657,0.008224335,-0.013840985,-0.044570202,0.006673766
01/31/1990,-0.02208291,-0.079286922,-0.033963939,-0.005239322,-0.014184748
02/28/1990,-0.026130402,0.011834057,-0.020674374,0.020380469,-0.030558958
03/31/1990,0.05051954,0.024294138,0.017287782,0.019058594,0.003356966
04/30/1990,-0.023365606,-0.039457387,-0.007157752,-0.002506706,-0.005207948
05/31/1990,0.028003459,0.086626835,0.01065891,0.007701765,0.001684469
06/30/1990,-0.002580431,-0.007965054,0.021548684,-0.004119933,0.003489262
07/31/1990,-0.008169367,-0.017266548,0.017296699,-0.022671808,0.007528499
08/31/1990,-0.143974239,-0.102065538,-0.054113297,-0.00510625,-0.012002271
09/30/1990,-0.145544202,-0.058669133,-0.046703042,-0.005948005,-0.006223452
10/31/1990,0.059737183,-0.013080144,-0.033990564,-0.025406178,0.004348
11/30/1990,-0.030256614,0.059528134,0.002088104,-0.011204317,-0.002194831
12/31/1990,-0.032574329,0.027521378,0.011911367,-0.001012175,-0.001094732
01/31/1991,0.003241301,0.042121698,0.01261597,-0.000252783,0.003590746
02/28/1991,0.115208756,0.065677516,0.077756167,0.031490131,0.014496643
03/31/1991,0.015355237,0.031123347,0.053485223,0.154819361,-0.003762015
04/30/1991,0.011077319,0.002311243,0.036573784,0.030480416,0.000568807
05/31/1991,0.031176007,0.028856117,-0.008564273,-0.000755107,0.005831731
06/30/1991,-0.050840235,-0.045314444,0.026338528,0.054442025,-0.009479167
07/31/1991,-0.011068044,0.042097599,0.022443551,-0.035485674,-0.012945264
08/31/1991,0.011304724,0.021733409,0.018015244,0.00467577,0.006564103
09/30/1991,-0.024193505,-0.01438603,0.009930497,-0.032033879,0.001863933
10/31/1991,-0.018384809,0.012253502,0.029601172,0.013152708,-0.001643586
11/30/1991,-0.034840721,-0.04390134,0.003826888,-0.027782691,0.000998259
12/31/1991,-0.0061329,0.097794992,0.003616124,-0.030896424,0.002750857
01/31/1992,0.060741788,-0.012328385,0.030705819,0.065904236,0.017820015
